 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2008-2010
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"Total"
"261360 São José do Egito";24614,98;22113,39;19138,63;16331,01;16855,36;29651,92;30641,91;30472,97;34124,93;33084,20;42615,40;33390,05;24535,28;33352,14;45932,60;51884,90;42267,41;56318,74;59582,98;80518,05;79334,25;91462,86;61763,29;82070,11;75106,78;76908,17;88883,61;89332,98;90506,13;73709,22;74941,46;81077,07;80551,39;67698,66;65729,09;36916,66;1943418,58
"261370 São Lourenço da Mata";149082,97;141385,71;144535,75;150122,85;167705,40;161864,33;173224,11;193507,58;221114,51;222129,28;202157,09;212107,76;213048,81;197139,47;230604,61;226027,19;247477,75;251768,04;261442,42;251878,91;237744,47;256371,03;253507,73;253384,32;255115,04;237431,21;278268,62;245482,50;273671,93;253884,29;266127,56;254185,29;267320,14;267606,20;264981,57;243195,11;8126601,55
"261380 São Vicente Ferrer";12343,73;20741,96;14079,75;16011,15;24424,91;20284,12;24011,88;30666,58;29129,89;29340,32;22164,58;35075,30;27941,68;28109,14;35612,49;32073,08;31389,19;40327,85;41844,67;36673,17;33240,15;34133,39;43038,35;42070,51;32117,69;29830,24;50291,66;48038,33;53497,66;40860,21;43332,61;42535,06;50030,37;42035,50;48094,17;42559,61;1227950,95
"261390 Serra Talhada";68383,93;58351,44;60507,54;50558,92;65570,36;121894,40;68172,62;81543,74;79327,12;78278,79;74029,53;85593,44;77542,82;88923,67;124636,00;109781,66;139857,46;116674,51;113793,17;121519,69;114986,46;102875,99;112026,91;120136,18;113187,60;136799,46;169388,34;161994,73;162798,86;161611,73;146944,98;167642,65;160066,32;158617,08;178195,10;167354,44;4119567,64
"261400 Serrita";46128,00;49836,89;40971,67;53382,02;40334,62;28216,64;44017,44;54498,63;44382,10;35848,57;49827,41;39713,04;49084,80;39241,17;46246,39;40298,53;43923,68;43210,78;34398,29;42601,78;53252,77;60285,49;38508,40;40848,40;54664,38;49353,31;69927,86;47705,46;52096,19;42902,00;55903,09;45746,73;44251,80;46804,49;43524,31;25651,62;1637588,75
"261410 Sertânia";40067,60;37719,50;57649,65;51348,92;45450,36;50826,99;56979,77;57941,77;63254,29;49618,83;55308,46;53455,50;66544,21;61195,22;61885,18;66986,26;67527,84;70085,07;77922,34;76013,54;69759,49;75785,33;88497,08;78089,22;77084,18;68479,16;71874,46;83903,88;85272,17;81135,82;78279,43;73246,61;72706,85;79595,11;81596,82;80873,58;2413960,49
"261420 Sirinhaém";53323,06;58105,05;54518,45;56221,95;60149,52;67323,49;65171,61;68735,58;73221,49;63833,67;63412,43;72601,64;73318,84;63604,42;84002,83;80235,44;84073,84;86378,38;78867,46;78218,34;93169,18;87718,28;68842,39;74124,87;71754,91;71328,70;87244,48;75789,54;90165,17;85874,81;84268,26;81555,37;68165,09;69142,58;82255,13;74623,54;2651339,79
"261440 Solidão";6913,76;5395,55;5541,93;4397,94;5530,87;7496,17;4654,08;6121,35;6829,37;6131,05;9926,75;7288,24;4993,84;5084,14;4587,54;4592,94;5006,71;5890,40;7205,95;7995,89;7961,94;6460,50;6349,00;6223,52;4704,83;5159,21;4566,61;7319,76;7511,65;6664,41;6737,73;7574,40;6826,15;10790,51;9352,74;9049,18;234836,61
"261450 Surubim";120261,11;137128,55;157692,79;138786,85;117130,93;161772,39;156184,34;178549,86;177515,08;197826,50;162119,06;178002,77;184841,06;156218,89;187342,81;206499,28;838699,46;224962,98;239054,35;225455,97;220397,50;230852,21;216487,19;224049,02;212830,53;190190,16;209155,42;184612,74;201862,13;181058,70;186963,27;194908,13;188725,54;186272,53;199269,50;195687,59;7369367,19
"261460 Tabira";33807,59;44071,35;38989,15;40633,91;43543,12;53221,17;51486,58;52324,01;57755,56;59118,10;52470,95;53970,29;49479,54;53316,87;68822,57;65258,92;75004,61;72606,54;82014,60;81136,75;79639,10;82257,06;73748,80;75324,66;74833,38;68049,60;71934,09;74121,20;78046,12;72882,30;68767,38;68163,26;68859,41;76863,75;74432,37;55328,69;2292283,35
"261470 Tacaimbó";20823,16;12256,26;13938,48;15439,27;19719,85;14866,70;22848,57;22885,38;21096,67;22609,07;23717,11;24525,21;23071,49;23052,21;23551,16;25812,15;30390,64;28796,27;40164,56;28256,30;29148,11;29433,33;28625,63;26448,45;31866,49;23772,94;25158,43;24549,61;24881,52;20413,83;27691,65;15315,03;24727,91;23128,35;26114,03;21219,90;860315,72
"261480 Tacaratu";10384,52;5541,49;68880,15;117375,92;6400,50;13456,77;20339,94;29601,41;10145,17;16572,11;17072,03;22864,72;19616,66;19009,08;23969,10;26276,95;25531,82;34845,55;25122,57;31013,20;32398,25;41738,32;30412,02;27470,98;19084,55;29587,33;23854,88;25968,36;28401,70;27088,73;29409,74;26088,20;25528,34;23760,33;26858,19;22216,22;983885,80
"261485 Tamandaré";18046,75;20847,88;22926,27;23282,19;22106,95;25411,46;22212,11;27997,65;29674,60;28637,08;21849,67;14633,40;19276,95;23532,00;29729,75;24193,58;38666,68;28818,11;36328,22;39296,66;43749,61;40673,45;46004,99;46606,98;42883,28;42187,70;48129,87;52632,42;60463,07;48923,85;48734,84;49437,32;45249,48;44720,04;44647,79;45239,51;1267752,16
"261500 Taquaritinga do Norte";14604,57;15210,26;13929,72;15958,26;25704,99;16279,17;21419,04;24033,66;32429,81;27676,14;26683,43;27940,89;26329,06;23938,27;34953,68;28791,52;41523,00;32956,86;31969,00;30936,00;39527,22;35535,05;31411,89;35403,81;35026,07;40965,53;33172,11;33065,07;41268,22;34437,65;39714,01;48125,16;35062,57;36898,08;48883,27;42618,27;1124381,31
"261510 Terezinha";8631,76;5575,47;7529,72;11402,83;9555,63;7607,26;7760,32;10287,71;9245,91;10784,31;8034,77;9190,88;10804,41;7471,35;6748,57;6976,35;6758,20;5706,73;7840,86;6163,34;6250,93;8425,35;8016,54;6989,96;11546,24;10286,64;13344,20;16833,50;24704,80;16877,85;14118,72;10927,55;11999,53;12756,26;18210,16;14780,78;370145,39
"261520 Terra Nova";10783,12;8044,37;10234,40;18140,18;15429,93;12150,06;13019,91;16526,84;14475,50;19447,18;12899,40;19331,99;11595,87;14950,45;21386,98;9536,77;23856,23;12153,19;17676,81;17028,52;25217,78;26999,76;22714,76;23917,82;21163,75;15977,01;25901,67;13745,63;11963,72;16669,86;13910,10;21898,79;16730,79;16528,51;23289,16;7323,12;602619,93
"261530 Timbaúba";61307,61;63837,18;72189,11;59923,13;74151,61;75517,39;93963,43;106685,48;92240,57;99814,63;86422,12;85288,89;89023,50;78963,15;110913,03;112192,56;125013,88;154579,06;137126,84;129315,75;138684,59;131431,82;122824,37;135052,90;112498,15;119247,74;135687,51;126389,72;130346,51;119781,78;127683,26;127608,72;146652,42;125820,29;138718,28;137802,58;3984699,56
"261540 Toritama";31738,85;25821,68;21233,40;23653,35;26774,10;29040,06;36849,52;38525,29;33798,00;40273,85;34545,73;41479,16;47213,76;48982,66;65482,34;45374,54;62440,92;58414,06;56508,57;53976,25;48941,41;62879,15;60568,73;70239,38;66920,43;64547,51;68807,08;62934,69;60658,11;62606,12;65234,96;66062,80;54464,59;57052,95;53952,02;50979,41;1798975,43
"261550 Tracunhaém";17647,36;13110,85;20970,59;23460,01;25635,74;19901,02;24812,95;28667,65;19289,03;30836,25;23202,83;24273,04;22017,10;20304,22;19893,20;21452,13;23601,40;19473,03;19623,36;21314,80;26523,72;29399,56;27899,79;22438,26;23888,57;23200,30;25153,43;21598,82;26562,17;30395,14;28011,50;26856,17;30793,20;31770,19;28029,51;34138,44;876145,33
"261560 Trindade";16480,64;14838,98;17613,67;40062,40;27930,27;26386,07;25877,50;28811,35;28713,91;26677,24;26880,37;21051,45;23856,02;24004,57;35912,52;29746,82;39615,53;33263,22;34906,79;38236,37;59508,14;43562,79;41024,16;43190,73;42354,80;43773,93;46265,34;43124,36;44440,83;47462,11;38961,47;47458,40;42830,75;39694,16;51273,03;36405,13;1272195,82
"261570 Triunfo";22573,34;18782,45;25526,73;23944,04;23321,63;38026,59;31137,77;30689,07;29298,57;27041,07;27708,10;32170,51;26081,96;28930,06;37068,74;45860,85;47605,42;32684,60;49571,64;44012,00;46791,30;50909,73;44611,81;44606,65;42679,88;37952,83;40711,46;42765,26;35356,59;36675,58;34847,70;46155,04;39188,54;49559,76;57556,14;52290,06;1344693,47
"261580 Tupanatinga";10581,76;7723,64;9291,58;10185,99;11948,88;11686,94;16516,86;13658,47;18087,88;14284,82;21266,49;23037,69;20504,32;23677,29;26686,23;28686,55;27565,33;21793,30;35101,31;25890,05;20007,06;21168,65;29771,32;24076,50;24388,36;22140,61;33631,50;33986,08;27408,67;28871,72;28972,58;19490,26;23043,93;18757,90;21307,17;14355,40;769553,09
"261590 Tuparetama";5911,48;5820,09;7658,69;6545,95;5989,46;8254,41;8461,49;12046,90;8318,28;12038,38;15478,06;8952,77;8887,67;7656,96;12600,06;12989,29;13118,58;11529,60;13636,33;11512,47;10213,80;15136,96;18736,50;21456,38;19882,74;20236,69;25049,94;22067,27;21100,83;21441,36;21560,20;19643,55;21945,90;21870,80;22368,69;19058,91;519177,44
"261600 Venturosa";16032,95;16068,38;17297,62;15900,79;16967,39;19376,59;29555,39;28231,93;38004,89;35635,69;38854,75;43960,20;34893,62;39605,60;46087,65;38998,13;36617,19;34873,74;42811,50;39366,28;47148,40;47694,84;43400,30;46128,02;40670,02;47095,04;46257,81;43173,30;56083,16;51015,62;47777,92;54804,44;58769,67;46441,56;53556,98;45557,94;1404715,30
"261610 Verdejante";6644,88;7566,75;9115,13;8266,01;9251,81;9963,75;8459,02;9017,67;7545,26;9653,48;11893,05;16007,30;4889,40;5948,78;9090,64;8379,16;9849,32;9843,27;9382,62;8055,96;9045,84;14136,77;13917,80;13068,18;10060,19;12097,16;16593,50;23672,14;20736,10;20079,54;16343,20;35241,75;23044,99;21639,84;24779,73;21210,04;474490,03
"261618 Vertente do Lério";13693,63;15599,53;14496,52;14213,27;14239,54;17735,21;14899,34;17976,20;12550,14;10723,95;15612,58;12925,40;13796,60;11732,13;11057,23;10764,59;12016,89;12234,96;11192,34;14226,76;13581,10;12153,57;11945,22;11486,16;12532,77;12785,27;11878,29;17408,72;13717,70;12690,41;13491,11;15211,85;14956,19;11402,39;13678,08;11567,36;482173,00
"261620 Vertentes";29748,75;27425,19;27862,04;30846,36;38238,39;41502,75;35934,88;51758,05;57910,58;56787,34;53687,29;58199,34;58681,31;49963,70;53043,86;39966,75;68313,39;48715,97;39545,59;41562,77;37902,06;45048,88;47088,95;42044,00;36836,14;34655,28;42782,04;38025,70;36940,15;36713,00;42653,26;39761,09;53386,89;50265,91;62331,95;57318,29;1613447,89
"261630 Vicência";30539,72;33834,14;45573,81;35947,36;37892,55;45844,74;42664,53;41189,71;56662,56;52919,74;45990,39;46990,96;37926,73;45362,54;56217,77;56853,26;55054,97;70276,82;70917,61;62756,87;68204,00;72478,35;62610,13;61425,19;60592,13;63948,23;70655,80;70594,49;68269,55;66850,67;61220,40;64830,98;66469,23;57923,25;65199,52;64964,85;2017653,55
"261640 Vitória de Santo Antão";279390,76;260090,46;293525,34;290825,84;306212,51;299285,59;316530,81;359292,87;417911,56;389993,54;384474,96;394993,50;357275,85;353154,02;405760,34;394535,44;420088,86;421599,75;426725,10;439120,09;473624,47;479662,84;427791,26;467260,54;408781,63;407403,27;478126,53;449986,68;479282,54;440455,32;441638,56;447862,11;462258,07;432067,65;436607,61;449855,08;14393451,35
"261650 Xexéu";12393,31;17876,39;22204,63;21845,05;28190,33;21422,13;19294,00;18119,54;20496,41;17439,83;11377,63;12564,89;13072,59;18732,51;19446,78;24069,65;23682,48;25118,90;29211,45;23367,88;24676,91;36753,97;30538,53;33745,51;35364,08;24779,65;32402,91;25892,38;29606,79;28206,41;22009,61;32166,46;29986,26;21913,73;21881,34;27042,21;856893,13
"270010 Água Branca";26845,57;27382,14;35836,07;31546,36;33445,16;33009,94;38874,06;37794,20;38365,26;26961,96;23038,58;22195,15;17126,93;20286,68;21946,19;26065,21;28166,47;27967,26;30656,11;28005,03;30628,40;38155,88;44272,36;44024,65;45942,12;43420,70;56146,34;61444,22;77620,81;48134,60;57946,89;58602,76;69303,98;57068,74;49230,69;81948,14;1439405,61
"270020 Anadia";42717,66;42539,64;46855,31;49241,73;50651,35;45369,88;47890,59;42906,93;48133,87;44853,84;41716,56;44243,71;39610,00;46571,61;56904,56;69903,06;42736,62;49168,50;63684,60;59753,71;53285,42;46905,30;52607,70;54183,00;55509,72;68676,93;74081,19;61189,17;65193,10;62453,85;84767,07;45892,05;80621,02;63366,54;77781,82;74428,39;1996396,00
"270030 Arapiraca";722037,59;696611,01;740056,93;827416,56;771500,92;818895,79;826626,87;887600,20;967943,34;983578,64;997895,48;982150,41;1071391,30;1015654,51;1221271,31;1243240,99;1336677,78;1233987,76;1394879,82;1418130,71;1463360,34;1406683,12;1568445,20;1315718,03;1364867,17;1323493,40;1572866,76;1358722,02;1471276,05;1440379,62;1594005,04;1510773,34;1634254,64;1736610,35;1598558,15;1495604,01;44013165,16
"270040 Atalaia";65744,07;52523,00;57337,03;60857,05;65799,27;70233,63;68842,60;71224,96;65354,03;92961,65;94515,22;92830,40;101379,38;108176,48;105539,85;95319,21;109273,74;105836,86;98672,03;91771,17;106688,21;94667,66;102679,05;121766,07;110514,43;77767,17;85444,81;101681,26;96162,94;86383,11;129180,57;121806,73;118866,61;125543,78;109900,87;123755,12;3387000,02
"270050 Barra de Santo Antônio";13530,11;9600,26;14730,12;12379,67;15006,50;14562,74;19302,27;16710,82;17945,82;20136,19;18533,63;17735,74;22473,98;18198,24;21466,68;21931,95;21003,18;37347,96;26675,69;29057,79;33233,97;31026,17;32274,97;32900,58;34039,20;28843,01;35713,54;39127,90;41985,13;32726,08;38024,78;29205,04;39684,38;34856,48;32727,82;30236,71;934935,10
"270060 Barra de São Miguel";17702,67;14640,05;17923,68;22252,14;20564,66;22849,38;18418,50;13734,31;20853,75;19856,16;17182,94;15334,67;17547,18;18374,22;17693,39;17899,87;20177,37;19622,62;25389,40;21446,49;20347,23;21960,80;19991,13;22216,82;20794,84;18787,04;22839,87;18334,34;21485,20;27683,84;28485,45;23822,43;26698,54;33407,36;33850,93;17988,58;758157,85
"270070 Batalha";55859,49;58784,25;55949,75;55225,61;64165,57;59781,22;66141,78;54062,57;57042,99;59801,03;73705,32;63501,14;75005,75;66629,53;68879,26;64128,01;65171,47;62233,78;72216,13;77214,36;65152,22;77606,33;79418,11;76334,10;79206,11;88175,89;87936,51;76191,97;94445,45;91288,73;101966,94;87740,20;77185,70;100309,25;98644,55;127126,34;2684227,41
"270080 Belém";7635,62;9793,65;7400,20;6093,91;10704,88;5211,95;6908,72;11828,70;10562,85;7891,11;13855,67;11727,83;9515,28;8833,37;9488,72;10420,63;9153,45;9032,61;9995,73;42025,13;19921,33;35189,98;13872,24;24192,79;14784,77;11057,64;14220,96;11860,92;12000,11;15405,34;16890,80;24880,70;24239,79;19396,78;14823,96;12792,37;503610,49
"270090 Belo Monte";8055,57;10446,35;14230,05;11172,18;13901,74;14447,51;14518,57;14121,29;15169,80;14055,14;15979,20;12425,95;12086,74;11529,71;10130,81;12055,00;13702,69;13095,02;14753,80;16608,44;11532,49;16269,54;14626,76;14122,97;13752,52;15176,75;19135,57;17204,29;12738,92;13833,40;30192,18;17839,44;31847,08;19486,01;17900,31;9955,15;538098,94
"270100 Boca da Mata";60218,39;54176,08;76673,40;71635,80;75374,65;57709,95;80061,58;77674,36;74897,39;76967,53;108687,75;71914,46;66759,37;58540,07;74538,14;74330,46;95788,98;83806,53;84615,65;82105,55;87265,93;98293,55;86458,00;84026,89;80933,66;81858,06;104337,26;82203,23;94596,29;106056,16;74238,50;91485,00;115851,91;98836,05;110162,57;86952,15;2990031,30
"270110 Branquinha";14284,44;12216,89;12322,72;17069,45;15464,14;23225,76;27113,38;27282,74;18869,07;15886,32;12715,40;16599,40;17836,97;16113,59;16910,69;25981,80;29131,62;18857,06;26742,39;27286,33;20013,91;25899,08;20277,71;16807,80;28773,93;23573,36;29235,98;19502,88;13442,35;19151,64;17674,70;16118,31;17604,40;17105,80;17087,26;18656,98;712836,25
"270120 Cacimbinhas";16535,10;14295,98;15295,99;16255,48;18163,05;19436,64;27061,51;25779,08;24087,99;22407,43;20153,98;20575,32;22283,23;21280,34;28192,06;28504,58;30684,09;28136,18;30286,11;34034,12;31784,26;29706,31;22534,76;59484,97;45067,21;27112,22;45097,30;25417,60;26743,70;38891,71;35014,44;35105,24;62153,79;51462,72;54804,88;37502,38;1091331,75
"270130 Cajueiro";57824,30;54590,25;60305,80;72559,85;58109,56;67252,58;59691,67;56582,49;64632,64;70800,73;64410,27;68102,40;71611,45;63930,97;66143,18;64104,61;67023,29;77194,67;69426,08;64414,42;69578,35;67893,77;66651,97;74336,41;70571,55;68436,18;70146,95;61140,43;64371,51;59215,90;57883,78;62312,43;69801,78;60521,62;61192,96;60311,07;2343077,87
"270135 Campestre";7882,07;9233,06;8780,79;9380,98;9683,10;7542,27;9330,32;8049,47;10534,85;7485,06;7708,20;8686,64;9270,84;7454,60;7829,26;8157,02;9054,95;9884,62;12593,74;13423,64;14394,14;14967,56;15567,41;12834,63;11651,72;10322,19;10394,36;11299,30;18412,62;10333,44;11122,10;9401,05;6568,10;20933,65;23570,74;11340,94;395079,43
"270140 Campo Alegre";50967,31;54572,77;61332,41;50853,88;56477,53;68668,16;64057,76;66511,92;68049,77;70094,82;63706,87;73014,33;74554,86;61473,74;107774,30;96228,00;102372,13;99710,98;89946,09;91055,74;131679,26;113321,61;96115,01;109770,93;100300,65;99724,70;163244,69;94598,13;94960,50;109966,83;115790,71;131373,86;139324,31;120516,76;143685,59;126842,03;3362638,94
"270150 Campo Grande";23494,18;10421,33;12782,64;16055,83;21197,57;23909,22;20144,78;20424,77;17966,41;17075,05;16570,44;16649,23;16616,30;14157,53;24190,35;20006,88;19360,82;27190,37;32277,04;32692,74;28201,34;28220,80;30998,32;30594,70;25584,96;32940,55;30202,47;31639,81;35249,39;26590,81;36588,86;60606,13;31395,07;46295,87;28612,90;55846,56;962752,02
"270160 Canapi";8972,62;7912,47;8668,12;7727,29;5066,58;6221,98;10851,72;16827,68;13089,14;13079,83;10311,94;16626,37;24779,86;23863,26;19541,32;20843,89;18416,93;18613,34;20864,28;24987,80;19586,42;20587,93;33812,64;23467,08;21779,41;23907,17;37811,35;36434,09;122403,82;68638,15;36160,57;30173,62;65828,13;28002,19;35611,36;32205,31;933675,66
"270170 Capela";66527,97;49590,21;54864,36;56481,15;55297,33;53105,49;57637,97;60135,52;58000,13;55608,06;54412,89;55993,59;53195,52;49896,94;33894,62;56402,74;54850,32;62469,89;60011,85;63825,83;58785,64;58859,79;58910,02;63550,21;61752,17;60219,19;62445,24;57818,18;54641,28;56482,73;74796,33;74904,69;60151,56;60148,86;63118,43;63137,56;2101924,26
"270180 Carneiros";2692,21;3962,86;6221,35;3737,40;4003,22;3924,87;5258,08;5777,77;7179,75;7079,82;8078,43;5422,05;4723,24;7656,12;5247,97;7033,57;6749,37;5963,50;7825,09;10366,42;12009,04;7531,98;9774,80;8849,36;7850,86;11413,74;12476,13;5929,76;9478,92;10861,03;12692,64;16244,20;12862,31;11734,08;10958,33;8549,63;288119,90
"270190 Chã Preta";6129,95;4161,57;6481,56;7806,71;8466,86;8484,33;8033,76;8249,00;6966,67;6467,74;7575,70;8244,20;9660,41;9046,69;9208,99;9866,73;9657,71;8608,55;12074,69;13587,74;11317,91;7495,30;13626,18;16576,93;19701,55;20843,59;13337,85;13796,92;21540,87;9097,13;6750,36;7368,25;9163,21;17818,08;13082,51;17814,79;388110,99
"270200 Coité do Nóia";28320,43;27423,92;24307,52;22266,36;30797,41;30401,68;35102,90;33323,96;38294,52;39087,36;31402,87;30194,48;29641,94;28240,79;33988,48;33302,40;55122,03;34739,56;38822,38;45758,56;44788,11;28982,02;53202,29;45028,09;40693,40;35630,12;61046,24;48753,79;50465,72;33480,98;44721,70;46345,30;47971,58;42400,13;45921,54;38113,54;1378084,10
"270210 Colônia Leopoldina";50963,44;55111,35;78481,69;70927,03;24111,73;69546,69;79417,04;79928,56;130153,01;85698,07;91631,59;94180,02;78621,65;78583,19;33308,08;36726,87;36592,90;37592,55;43129,17;48916,49;42597,79;40984,04;34829,15;32374,89;34544,08;41055,08;55781,33;33137,00;35183,21;48023,56;40294,31;35915,87;55635,31;37386,16;47365,63;32842,90;1951571,43
"270220 Coqueiro Seco";12576,51;10728,62;12274,17;15069,32;18573,42;15879,40;16760,47;18101,77;19692,81;17481,01;17667,33;15562,93;14983,92;12269,52;11349,86;13312,13;12987,77;11419,82;27498,37;26499,69;16670,87;19845,84;18482,11;13187,17;14871,48;21643,43;19212,94;16591,22;17305,85;20795,24;14101,78;13302,45;24239,92;12163,20;30864,42;18007,81;611974,57
"270230 Coruripe";122578,30;127522,04;123758,59;122008,26;124130,06;139965,14;148103,14;150675,75;153932,49;166840,59;133770,97;135090,76;151828,41;167487,61;165802,11;161040,44;160292,89;165648,70;175214,40;184780,81;151714,30;162877,28;162286,17;163980,40;141470,62;136598,20;169745,76;138559,78;214678,26;125597,03;147220,00;189752,62;173155,53;153328,34;178865,75;178629,77;5568931,27
"270235 Craíbas";45098,48;31453,66;33188,77;36903,67;38434,82;36443,60;33850,31;39048,75;40979,56;42136,19;36592,84;37067,46;36014,38;35507,15;36929,60;38153,70;54511,12;43434,39;43608,19;45082,85;46631,86;60500,14;41357,13;47221,41;49339,98;69022,43;83930,16;48482,06;42386,53;36572,88;43657,40;48573,90;48202,50;51119,42;59250,48;47198,18;1607885,95
"270240 Delmiro Gouveia";94813,75;95994,78;109698,76;118818,80;92797,50;108404,57;115637,13;110784,10;115703,98;123982,93;108776,63;131752,25;123046,88;107676,46;112819,74;114152,95;116850,00;98937,49;102546,51;95957,29;98294,17;102171,75;93165,63;95569,80;95851,43;96655,30;123419,08;117205,20;125728,83;119629,88;139358,86;131624,88;122221,54;103955,33;150529,23;151561,71;4066095,12
"270250 Dois Riachos";5060,13;7671,65;5882,33;13248,55;8224,46;8648,42;11510,30;12288,57;11472,40;8286,64;8757,50;8085,96;7089,88;7012,34;10036,55;7621,66;9638,67;9107,73;12899,11;12879,13;18911,65;13611,58;14288,57;28090,49;18397,97;17876,13;19473,24;35601,84;16082,18;25622,30;18629,89;23399,41;48601,61;32249,87;22259,84;55527,19;594045,74
"270255 Estrela de Alagoas";22221,31;25376,00;24215,02;24396,69;23783,58;25316,78;27307,03;21004,37;23469,64;26094,58;27832,99;25607,06;21902,33;21066,98;24313,33;25622,51;27757,82;32429,17;36414,39;35066,68;39555,23;31141,38;36923,28;45421,04;38738,54;28060,20;42440,45;55829,44;32240,27;43062,64;32963,79;35187,75;38032,57;37594,62;43950,67;33359,22;1135699,35
"270260 Feira Grande";37413,08;38402,98;44798,05;43930,97;56052,68;52350,13;50620,86;48890,52;48494,70;50953,13;59890,34;57601,63;42313,33;46158,44;54124,19;47537,52;55278,41;51591,62;54293,97;48197,49;54555,90;44854,30;54076,33;59587,82;52302,62;55706,89;60806,96;56760,21;142086,93;150910,66;70177,94;74915,46;89569,68;114527,52;72989,56;64898,76;2207621,58
"270270 Feliz Deserto";2487,49;1457,87;2465,69;2699,55;1293,23;1692,55;1599,47;2713,75;3385,26;1424,00;2516,97;2358,38;3469,38;3777,62;13875,56;3283,32;3345,18;12385,13;6213,16;4869,82;4962,60;4343,75;4737,74;4121,16;3465,68;3053,45;8810,64;8135,71;13303,26;8474,01;8088,17;7812,40;9196,52;11552,56;12337,04;12192,89;201900,96
"270280 Flexeiras";7469,09;7860,00;8655,46;9324,18;8825,78;14122,60;15560,95;11366,58;18217,41;18715,25;14890,24;15984,63;13622,26;14730,96;13901,84;16364,26;17717,88;13846,98;17215,95;24942,73;35634,24;25878,40;25572,58;21119,34;41826,84;22270,95;37803,20;30154,79;22847,42;27895,51;25492,69;25317,14;56197,43;20561,79;40193,92;19891,43;761992,70
"270290 Girau do Ponciano";61552,99;51268,96;64950,65;67627,37;57091,74;61644,76;62488,03;67272,04;60680,14;59858,58;62430,58;66505,43;59926,37;64030,01;83251,81;85970,08;93523,67;73960,33;92944,28;92953,40;85461,73;71411,75;90378,19;108862,62;88315,45;86905,81;98866,19;72926,16;120064,01;94298,29;83897,97;77691,26;84303,13;113245,45;117769,15;97424,31;2881752,69
"270300 Ibateguara";40285,26;41061,79;45601,56;45738,76;48880,05;50652,05;52282,02;48370,37;51376,56;52874,90;49058,80;47486,82;50678,46;57716,22;55479,86;58837,98;57888,12;55442,58;61310,68;58968,70;56906,63;67473,67;53451,81;61926,55;62103,77;57246,00;73944,05;61565,80;79333,69;64496,65;65160,66;65498,09;73901,70;63541,85;90590,02;66609,41;2093741,89
"270310 Igaci";43199,80;30306,43;36001,77;39378,13;40763,99;40979,42;38682,20;46069,54;46296,27;46421,33;54448,94;48688,84;57435,36;55351,17;53969,22;60136,74;63024,57;76473,27;72815,02;62153,79;54281,14;51048,89;57086,01;83294,81;77173,89;70138,20;69472,68;70059,20;67324,77;96682,28;69873,38;65219,72;95679,06;65502,09;105493,93;44545,44;2155471,29
"270320 Igreja Nova";49202,94;46114,95;51239,12;55809,03;67995,79;57924,83;55705,52;60771,35;60635,89;69632,92;61287,99;63630,94;42988,45;47625,69;103752,01;66206,12;67689,84;81647,39;76157,72;74884,63;72422,52;78061,17;90689,03;83130,71;87884,06;80964,45;96436,53;86195,96;83497,00;77905,05;80799,36;92532,64;69441,66;81770,73;105047,82;79260,65;2606942,46
"270330 Inhapi";18825,95;16262,01;17631,01;21059,13;17181,76;20924,25;19509,61;19211,66;21714,71;20492,17;22493,91;22485,07;19517,08;21020,47;20693,62;20406,71;20396,96;29025,99;18994,38;21864,89;23785,88;27913,51;28616,06;27637,43;31582,25;21209,99;26531,99;27637,78;25529,23;30097,24;26523,10;29220,10;48499,02;37172,18;39316,19;36823,15;897806,44
"270340 Jacaré dos Homens";13543,54;10545,56;9630,93;12092,91;10416,13;9477,02;7064,79;8671,84;13087,83;8665,60;10909,31;11361,91;12777,04;12926,70;12656,97;12359,87;12515,71;12060,21;14439,57;17398,45;17278,48;16237,34;13395,84;15139,97;10336,52;11660,80;13340,34;14647,61;13804,57;37553,93;13611,39;23511,57;51592,48;28809,84;20512,45;38862,02;572897,04
"270350 Jacuípe";7416,72;6470,59;7147,93;8891,06;8827,93;6430,53;6465,76;5134,23;4726,42;4171,45;5614,27;4158,99;4734,32;3399,01;5859,17;5557,08;4170,66;4214,21;7487,61;7464,71;5224,42;5363,86;5006,83;8074,00;7891,09;8087,37;7579,03;9657,00;11149,02;12271,55;10978,85;14252,08;19933,02;18131,01;14318,48;11866,00;288126,26
"270360 Japaratinga";7340,92;11799,20;10504,34;8676,08;11238,50;13684,68;11271,49;11538,88;10872,61;11489,35;11198,07;11894,74;11715,38;14327,28;10880,50;12128,06;9177,70;9964,06;11537,96;9516,26;9455,98;9320,64;8573,62;16737,07;8213,24;13503,60;8854,69;10788,76;11407,24;16176,65;11540,82;14875,94;12820,29;17153,82;17629,05;13532,73;421340,20
